RadlexID	Common ID	Name
RID27702	4014974	right hypoglossal nerve
RID27703	4014203	left hypoglossal nerve
RID27706	4015140	right spinal accessory nerve
RID27707	4014369	left spinal accessory nerve
RID27708	4014966	right great auricular nerve
RID27709	4014195	left great auricular nerve
RID27716	4015091	right phrenic nerve
RID27717	4014320	left phrenic nerve
RID27718	4015050	right musculocutaneous nerve
RID27719	4014279	left musculocutaneous nerve
RID2772	4014516	medial meniscus
RID27720	4015046	right median nerve
RID27721	4014275	left median nerve
RID27722	4015190	right ulnar nerve
RID27723	4014419	left ulnar nerve
RID27728	4015113	right radial nerve
RID27729	4014342	left radial nerve
RID27730	4014879	right axillary nerve
RID27731	4014109	left axillary nerve
RID27754	4015107	right pudendal nerve
RID27755	4014336	left pudendal nerve
RID2781	4013475	anterior cruciate ligament
RID2784	4014757	posterior cruciate ligament
RID2797	4014043	lateral collateral ligament
RID28045	4015058	right olfactory nerve
RID28046	4014287	left olfactory nerve
RID28449	4013607	cerebral crus
RID2848	4014824	quadriceps tendon
RID2849	4014698	patellar ligament
RID2851	4013544	biceps femoris tendon
RID28545	4013454	ankle
RID28571	4013973	inferior nasal concha
RID28576	4014487	mandibular rami
RID28584	4013504	apex of lung
RID28590	4013924	head of radius
RID28591	4015243	set of ribs
RID28591_RID6151	4013833	first rib
RID28591_RID6152	4015218	second rib
RID28591_RID6153	4015434	third rib
RID28591_RID6154	4013865	fourth rib
RID28591_RID6155	4013827	fifth rib
RID28591_RID6156	4015257	sixth rib
RID28591_RID6157	4015248	seventh rib
RID28591_RID6158	4013761	eighth rib
RID28591_RID6159	4014610	ninth rib
RID28591_RID6160	4015418	tenth rib
RID28591_RID6161	4013765	eleventh rib
RID28591_RID6162	4015480	twelfth rib
RID28599	4015540	zygomatic arch
RID28600	4013620	circle of Willis
RID2869	4014430	leg
RID2871	4013823	fibula
RID2872	4013919	head of fibula
RID28727	4015234	set of coronary arteries
RID28731	4013539	base of cranium
RID28744	4014696	parotid gland
RID28749	4013566	breast
RID2875	4014606	neck of fibula
RID28829	4013855	foot
RID2883	4014063	lateral malleolus
RID28830	4014466	lumbar intervertebral disk
RID28830_RID6202	4014030	L1/L2 lumbar intervertebral disk
RID28830_RID6203	4014031	L2/L3 lumbar intervertebral disk
RID28830_RID6204	4014032	L3/L4 lumbar intervertebral disk
RID28830_RID6205	4014033	L4/L5 lumbar intervertebral disk
RID28830_RID6206	4014034	L5/S1 lumbar intervertebral disk
RID28847	4014473	lymph node group
RID28848	4013610	cervical lymph node group
RID2885	4015449	tibia
RID28852	4015241	set of mediastinal lymph nodes
RID28854	4013421	abdominal lymph node group
RID28855	4014703	pelvic lymph node group
RID28857	4014683	pancreaticoduodenal lymph node
RID2889	4014076	lateral tibial spine
RID28909	4013929	hemidiaphragm
RID2892	4014525	medial tibial spine
RID28935	4014685	para-aortic thoracic lymph node
RID290	4014662	ovary
RID2900	4013728	diaphysis of tibia
RID2904	4014515	medial malleolus
RID29093	4013920	head of humerus
RID2912	4015451	tibialis anterior muscle
RID2913	4013789	extensor digitorum longus muscle
RID2914	4013792	extensor hallucis longus muscle
RID2915	4014720	peroneus tertius muscle
RID29154	4015524	vertebra
RID29160	4015430	third cervical vertebra
RID29161	4013861	fourth cervical vertebra
RID29162	4015256	sixth cervical vertebra
RID29163	4015247	seventh cervical vertebra
RID2917	4014716	peroneus brevis muscle
RID2918	4014718	peroneus longus muscle
RID29188	4013834	first sacral vertebra
RID29189	4015219	second sacral vertebra
RID29190	4015435	third sacral vertebra
RID29191	4013866	fourth sacral vertebra
RID29192	4013828	fifth sacral vertebra
RID29193	4013830	first lumbar vertebra
RID29194	4015215	second lumbar vertebra
RID29195	4015431	third lumbar vertebra
RID29196	4013862	fourth lumbar vertebra
RID29197	4013825	fifth lumbar vertebra
RID29198	4013835	first thoracic vertebra
RID29199	4015220	second thoracic vertebra
RID2920	4013881	gastrocnemius muscle
RID29200	4015436	third thoracic vertebra
RID29201	4013867	fourth thoracic vertebra
RID29202	4013829	fifth thoracic vertebra
RID29203	4015258	sixth thoracic vertebra
RID29204	4015249	seventh thoracic vertebra
RID29205	4013760	eight thoracic vertebra
RID29206	4014611	ninth thoracic vertebra
RID29207	4015419	tenth thoracic vertebra
RID29208	4013766	eleventh thoracic vertebra
RID29209	4015481	twelfth thoracic vertebra
RID29224	4013824	fifth cervical vertebra
RID2924	4015262	soleus muscle
RID29245	4013832	first part of duodenum
RID2927	4015453	tibialis posterior muscle
RID2928	4013848	flexor hallucis longus muscle
RID2929	4013843	flexor digitorum longus muscle
RID2931	4013470	anterior compartment of leg
RID2932	4014045	lateral compartment of leg
RID2933	4015314	superficial posterior compartment of leg
RID2934	4013704	deep posterior compartment of leg
RID294	4013404	uterine adnexa
RID294_RID5824	4013406	left uterine adnexa
RID294_RID5825	4013407	right uterine adnexa
RID2949	4015365	talus
RID295	4015512	uterine tube
RID2952	4014526	medial tubercle
RID2957	4015306	sulcus tali
RID2959	4013578	calcaneus
RID2962	4013575	calcaneal tuberosity
RID29662	4014993	right kidney
RID29663	4014222	left kidney
RID2973	4013671	cuboid
RID2976	4015366	tarsal navicular
RID2978	4014508	medial cuneiform
RID2981	4014002	intermediate cuneiform
RID2983	4014054	lateral cuneiform
RID29859	4013462	anterior chest wall
RID2986_RID2993	4014545	metatarsal of great toe
RID2986_RID2996	4014546	metatarsal of second toe
RID2986_RID2997	4014547	metatarsal of third toe
RID2986_RID2998	4014544	metatarsal of fourth toe
RID29895	4013819	female breast
RID29896	4014939	right female breast
RID29897	4014168	left female breast
RID29898	4014481	male breast
RID29899	4015018	right male breast
RID29900	4014247	left male breast
RID29902	4014612	nipple
RID29903	4014616	nipple of male breast
RID29904	4014618	nipple of right male breast
RID29905	4014615	nipple of left male breast
RID29906	4014613	nipple of female breast
RID29907	4014617	nipple of right female breast
RID29908	4014614	nipple of left female breast
RID29909	4015051	right nipple
RID29910	4014280	left nipple
RID29911	4013506	areola
RID29912	4014875	right areola
