CommonID,PreferredTerm,RadlexID
   4013986,inferior tarsal muscle,RID9751
   4013987,inferior thyroid artery,RID838
   4013988,inferior vena cava,RID1178
   4013989,inferior vermian artery of PICA,RID787
   4013990,inferior vesical artery,RID13086
   4013991,infrahyoid neck,RID7576
   4013992,infraspinatus muscle,RID1939
   4013993,infraspinatus tendon,RID1949
   4013994,infratemporal fossa of maxilla,RID9248
   4013995,infratentorial brain,RID6381_RID6434
   4013996,inguinal canal,RID2485
   4013997,inguinal ligament,RID13315
   4013998,inguinal lymph node,RID465
   4013999,inner ear,RID10199
   4014000,intercostal artery,RID884
   4014001,interlobar bronchus,RID1258
   4014002,intermediate cuneiform,RID2981
   4014003,intermediate hypothalamic region,RID6665
   4014004,internal auditory canal,RID9392
   4014005,internal capsule,RID6941
   4014006,internal carotid artery,RID585
   4014007,internal cerebral vein,RID1142
   4014008,internal iliac artery,RID945
   4014009,internal iliac vein,RID1194
   4014010,internal jugular vein ,RID1024
   4014011,internal oblique,RID31599
   4014012,internal pudendal artery,RID954
   4014013,internal thoracic artery,RID823
   4014014,interphalangeal joint of great toe,RID34530_RID2993
   4014015,interphalangeal joint of thumb,RID34533
   4014016,interventricular foramen,RID7178
   4014017,interventricular septum,RID1404
   4014018,intraconal space of orbit,RID9725
   4014019,intracranial head,RID6383_RID9080
   4014020,Intramammary lymph node,RID34263
   4014021,iris,RID9635
   4014022,ischiofemoral ligament,RID2651
   4014023,ischium,RID2545
   4014024,isthmus of thyroid gland,RID7584
   4014025,jejunum,RID148
   4014026,jugular foramen,RID9501
   4014027,kidney,RID205
   4014028,knee,RID2743
   4014029,knee joint,RID2751
   4014030,L1/L2 lumbar intervertebral disk,RID28830_RID6202
   4014031,L2/L3 lumbar intervertebral disk,RID28830_RID6203
   4014032,L3/L4 lumbar intervertebral disk,RID28830_RID6204
   4014033,L4/L5 lumbar intervertebral disk,RID28830_RID6205
   4014034,L5/S1 lumbar intervertebral disk,RID28830_RID6206
   4014035,labyrinthine artery,RID795
   4014036,lacrimal bone,RID9471
   4014037,lacrimal gland,RID9761
   4014038,lambdoid suture,RID9807
   4014039,lamina terminalis,RID6524
   4014040,large intestine,RID152
   4014041,larynx,RID7589
   4014042,lateral,RID39121
   4014043,lateral collateral ligament,RID2797
   4014044,lateral compartment of left leg,RID48176
   4014045,lateral compartment of leg,RID2932
   4014046,lateral compartment of right leg,RID48175
   4014047,lateral condyle of femur,RID2686
   4014048,lateral condyle of left femur,RID39860
   4014049,lateral condyle of left tibia,RID39631
   4014050,lateral condyle of right femur,RID39859
   4014051,lateral condyle of right tibia,RID39630
   4014052,lateral condyle of tibia,RID39629
   4014053,lateral cricoarytenoid muscle,RID7645
   4014054,lateral cuneiform,RID2983
   4014055,lateral epicondyle of femur,RID2682
   4014056,lateral epicondyle of humerus,RID1984
   4014057,lateral epicondyle of left femur,RID49285
   4014058,lateral epicondyle of right femur,RID49284
   4014059,lateral frontobasal artery,RID36488
   4014060,lateral geniculate nucleus,RID6617
   4014061,lateral inferior area of lateral segment of left lobe of liver,RID33238
   4014062,lateral lenticulostriate artery,RID669
   4014063,lateral malleolus,RID2883
   4014064,lateral meniscus,RID2763
   4014065,lateral posterior choroidal artery,RID814
   4014066,lateral process of malleus,RID10168
   4014067,lateral pterygoid muscle,RID9905
   4014068,lateral rectus muscle,RID9704
   4014069,lateral region of breast,RID29946
   4014070,lateral region of left breast,RID29948
   4014071,lateral region of right breast,RID29947
   4014072,lateral sacral artery,RID947
   4014073,lateral semicircular canal,RID10218
   4014074,lateral superior area of lateral segment of left lobe of liver,RID33237
   4014075,lateral thoracic vein,RID43951
   4014076,lateral tibial spine,RID2889
   4014077,lateral ventricle,RID7124
   4014078,latissimus dorsi muscle,RID13374
   4014079,leaflet of tricuspid valve,RID39309
   4014081,left abducens nerve,RID27693
   4014082,left abductor pollicis brevis muscle,RID43134
   4014083,left abductor pollicis longus muscle,RID43124
   4014084,left abductor pollicis longus tendon,RID41622
   4014085,left accessory nerve tract,RID17610
   4014086,left acromioclavicular joint,RID42239
   4014087,left acromion,RID40004
   4014088,left adductor brevis muscle,RID48240
   4014089,left adductor longus muscle,RID48238
   4014090,left adductor magnus muscle,RID48242
   4014091,left adductor pollicis muscle,RID43140
   4013409,"adrenal artery, left",RID935_RID5824
   4013413,left adrenal gland,RID30325
